time_of_day,PULocationID,demand,avg_fare,total_revenue,hour,day_of_week,month,is_weekend
Midday,141,149.85793871866295,13.714163848430292,6595314.05,10,0,1,0
Midday,142,189.68152274837513,14.566487667168028,8828113.83,10,0,1,0
Midday,143,78.75626740947075,14.244448152337027,3553885.56,10,0,1,0
Midday,144,40.42107706592386,18.426579427661558,2249647.48,10,0,1,0
Midday,148,25.64623955431755,21.097053274820347,1573264.87,10,0,1,0
Midday,151,57.806406685236766,14.918252531344503,2588755.76,10,0,1,0
Midday,152,4.1958964338055695,19.004882517114208,202060.49,10,2,1,0
Midday,153,1.0561797752808988,29.64675093632959,5955.04,13,0,4,0
Midday,158,40.15784586815227,18.925589491676476,2332235.86,10,0,1,0
Midday,161,288.23769730733517,17.91132998445999,16047573.32,10,0,1,0
Midday,162,208.86954503249768,17.44660950889918,11444095.41,10,0,1,0
Midday,163,177.974930362117,18.192292572337763,10016764.14,10,0,1,0
Midday,164,126.8877030162413,18.102358616217348,7155426.39,10,0,1,0
Midday,166,31.80678123548537,17.816315382462633,1629838.73,11,0,1,0
Midday,170,183.64252553389045,17.12313829662272,9829041.31,10,0,1,0
Midday,186,198.28922934076138,19.005185108574345,11423230.64,10,0,1,0
Midday,194,1.4577114427860696,45.901533104636606,33904.71,12,6,3,1
Midday,202,1.1983967935871744,29.945978623914495,20641.12,11,5,2,1
Midday,209,9.058741258741259,24.32004456498348,627975.09,11,1,1,0
Midday,211,39.4661095636026,18.078986547607443,2175152.73,10,0,1,0
Midday,224,8.673507462686567,16.939115864554534,433272.48,10,1,1,0
Midday,229,110.1652739090065,15.23906564753369,5302643.53,10,0,1,0
Midday,230,175.34168987929434,23.10170807792408,12278158.43,10,0,1,0
Midday,231,68.86350974930362,20.119633519339885,4156232.02,10,0,1,0
Midday,232,6.338975082275505,22.72855069053875,381668.02,10,1,1,0
Midday,233,75.93314763231197,18.59930943357237,4349035.64,10,0,1,0
Midday,234,149.68027842227377,15.325425608283433,7324763.65,10,0,1,0
Midday,236,328.4373259052925,13.678421281837174,14555029.94,10,0,1,0
Midday,237,346.7957288765088,13.34739470032021,15119175.09,10,0,1,0
Midday,238,140.7075208913649,14.330088177517261,6388389.19,10,0,1,0
Midday,239,196.26880222841226,14.47460962309485,9099585.5,10,0,1,0
Midday,243,2.1011673151750974,28.634787343277132,107369.0,13,4,1,0
Midday,244,5.342092689918777,26.703867200821776,351860.33,10,2,1,0
Midday,246,97.13602599814298,17.559882390281565,5269423.54,10,0,1,0
Midday,249,74.89879294336119,14.93510446310568,3553928.34,10,0,1,0
Midday,261,37.61227336122734,25.25729771495293,2727518.68,13,0,1,0
Midday,262,98.2205199628598,14.745634597673716,4579097.2,10,0,1,0
Midday,263,115.59377901578459,13.83335846594447,5115568.45,10,0,1,0
Morning Rush,4,7.1079460269865065,19.291180321397235,231501.67,9,2,1,0
Morning Rush,12,1.3132183908045978,21.66904214559387,13637.92,8,6,1,1
Morning Rush,13,18.74876499647142,25.578850820971173,850428.84,6,1,1,0
Morning Rush,24,15.039133473095736,17.687034652196196,510586.16,6,1,1,0
Morning Rush,41,16.677622377622377,18.00840825551249,535186.98,9,0,1,0
Morning Rush,42,10.821754385964912,22.11094790812424,389210.92,6,1,1,0
Morning Rush,43,39.870719776380156,15.855665516881778,1260510.68,6,1,1,0
Morning Rush,45,3.119929453262787,23.118713408015655,102086.51,7,2,1,0
Morning Rush,48,84.66016713091922,15.540416390762973,2725655.42,6,0,1,0
Morning Rush,50,28.62543675751223,18.00499644445508,1087833.22,6,0,1,0
